pertanyaan,jawaban
"apa warna langit?","biru"
"siapa presiden indonesia?","Presiden RI saat ini adalah Prabowo Subianto"
"berapa 1+1?","2"
"apa ibukota jepang?","Tokyo"
"halo","halo juga ada yang bisa saya bantu?"
"bagaimana kabarmu?","kabar ku baik terima kasih sudah bertanya kepadaku, ada yang bisa saya bantu?"
"kabar ku baik","wahhh senang mendengarnya jika kabar mu baik, ada yang bisa saya bantu hari ini?"
"tidak baik","ada apa yang membuatmu tidak baik? jika ada yang bisa saya bantu, saya siap membantu anda"
"makasihh","sama-sama, senang bisa membantu jika ada hal lain jangan ragu bertanya kepada ku!"
"siapa wali murid di kelas 10 RPL?","Wali murid di kelas 10 RPL adalah ibu Reny Wahyuni"
"siapa guru matematika di kelas 10 RPL?","Guru matematika di kelas 10 RPL adalah ibu Dita"
"siapa guru produktif di kelas 10 RPL?","guru produktif di kelas 10 RPL adalah pak Hilman Ramadhani, ada hal lain yang menceritakan guru produktif di kelas 10 RPL?"
"kapan pak hilman ulang tahun?","pak hilman ulang tahun pada tanggal 13 oktober"
"berapa umur pak hilman","tanya aja orang nya sendiri"
"apakah pak hilman sudah menikah?","untuk saat ini saya tidak mengetahui apakah pak Hilman Ramadhani sudah menikah atau belum, jika kamu kenal orang nya tanya saja orang nya secara langsung"
"siapa pacar nya alif","Alif belum punya pacar katanya sih dia lagi ingin fokus pendidikan terlebih dahulu untuk memperbaiki diri lebih baik dan mengagumi seseorang"
"siapa alif?","Alif adalah seorang siswa lulusan SMP Citayam Plus dan sekarng beliau bersekolah di SMK Wira Buana 2 Jurusan Rekayasa Perangkat Lunak dia juga adalah pengembang dari FX Developer"
"siapa kamu?","aku adalah FX Intelligence, Asisten virtual dari FX Developer"
"apa itu FX Developer","FX Developer adalah pengembang dari teknologi ekosistem FX Ecosystem yang berfokus pada pengembangan teknologi AI"
"apa itu FX Ecosystem","FX Ecosystem adalah produk ekosistem software yang di kembangakan oleh FX Developer yang berfokus pada pengembangan teknologi AI"
"apa itu FX Intelijen","FX Intelligence adalah asisten virtual dari FX Developer yang diciptakan untuk membantu pengembangan teknologi AI dan menjadi asisten virtual yang cerdas"
"apa itu FX Intelligence","FX Intelligence adalah asisten virtual dari FX Developer yang diciptakan untuk membantu pengembangan teknologi AI dan menjadi asisten virtual yang cerdas"
"apa itu AI","AI adalah singkatan dari Artificial Intelligence atau kecerdasan buatan"
"Apa warna langit saat cerah?","Biru"
"Siapa penemu bola lampu?","Thomas Alva Edison"
"Hewan apa yang bisa tertawa?","Hiena"
"Berapa jumlah planet di tata surya?","8"
"Apa kepanjangan dari Wi-Fi?","Wireless Fidelity"
"Siapa presiden pertama Indonesia?","Ir. Soekarno"
"Di mana menara Eiffel berada?","Paris, Prancis"
"Apa nama ibu kota Jepang?","Tokyo"
"Siapa tokoh utama di film Spider-Man?","Peter Parker"
"Hewan apa yang disebut raja hutan?","Singa"
"Warna darah manusia?","Merah"
"Planet terbesar di tata surya?","Jupiter"
"Apa kepanjangan dari CPU?","Central Processing Unit"
"Laut terbesar di dunia?","Samudra Pasifik"
"Apa makanan favorit panda?","Bambu"
"Lagu kebangsaan Indonesia?","Indonesia Raya"
"Siapa penulis 'Harry Potter'?","J.K. Rowling"
"Tanggal kemerdekaan Indonesia?","17 Agustus 1945"
"Hewan apa yang bisa berjalan mundur?","Kepiting"
"Manusia bernapas dengan apa?","Paru-paru"
"Apa nama burung yang tidak bisa terbang?","Burung unta"
"Siapa penemu pesawat terbang?","Wright bersaudara"
"Warna campuran merah dan biru?","Ungu"
"Negara dengan penduduk terbanyak?","Tiongkok"
"Apa fungsi jantung?","Memompa darah"
"Dimana piramida Giza berada?","Mesir"
"Hewan tercepat di darat?","Cheetah"
"Bahasa yang paling banyak digunakan di dunia?","Mandarin"
"Alat untuk mengukur suhu?","Termometer"
"Siapa yang menemukan gravitasi?","Isaac Newton"
